decile,applicant_count,actual_default_count,actual_default_rate,mean_predicted_score,min_score,max_score,lift_vs_base_rate,cumulative_applicant_percentage,cumulative_default_capture_rate
1,6151,1765,0.2869452121606243,0.7983198800241298,0.7118784680479625,0.984412983140011,3.554479634141969,0.10001138155862316,0.3554884189325277
2,6150,943,0.15333333333333332,0.6523437785597342,0.5976294640892624,0.7118743447522532,1.8993877139979856,0.20000650374778467,0.5454179254783484
3,6150,637,0.10357723577235772,0.550340311427576,0.5066532202670615,0.597607804643447,1.2830434504949277,0.3000016259369462,0.6737160120845922
4,6151,468,0.07608518940009755,0.46754611961175074,0.43052363499208035,0.5066276937811517,0.9424909171549243,0.40001300749556934,0.76797583081571
5,6150,375,0.06097560975609756,0.3959956947371636,0.36317974974478984,0.4305052860260476,0.7553238523321788,0.5000081296847309,0.8435045317220544
6,6150,242,0.03934959349593496,0.33212645554536674,0.3021174234249229,0.36316060481577833,0.48743565937169947,0.6000032518738924,0.892245720040282
7,6151,208,0.03381563973337669,0.2735662620827613,0.24509091182417256,0.30211726677188844,0.41888485206885523,0.7000146334325155,0.9341389728096676
8,6150,169,0.02747967479674797,0.21743581584020535,0.189798786768978,0.24508747917244256,0.3403992827843686,0.800009755621677,0.9681772406847936
9,6150,102,0.016585365853658537,0.16112877489866267,0.1309232794484708,0.18978574099318857,0.20544808783435267,0.9000048778108385,0.9887210473313193
10,6150,56,0.009105691056910569,0.08956947733902663,0.0071916852347105415,0.13091891132973169,0.1127950286149387,1.0,1.0
