rank,feature,xgboost_importance,transformed_feature_count,xgboost_importance_share
1,ORGANIZATION_TYPE,0.141756,58,0.141756
2,EXT_SOURCE_MEAN,0.122783326,1,0.122783326
3,OCCUPATION_TYPE,0.0570601,18,0.0570601
4,NAME_EDUCATION_TYPE,0.053800467,5,0.053800467
5,NAME_INCOME_TYPE,0.04357509,8,0.04357509
6,CODE_GENDER,0.03955123,3,0.03955123
7,EXT_SOURCE_MAX,0.029277796,1,0.029277796
8,EXT_SOURCE_MIN,0.029166222,1,0.029166222
9,FLAG_OWN_CAR,0.02857127,2,0.02857127
10,NAME_FAMILY_STATUS,0.02451642,6,0.02451642
11,WEEKDAY_APPR_PROCESS_START,0.023221789,7,0.023221789
12,NAME_HOUSING_TYPE,0.021653954,6,0.021653954
13,NAME_CONTRACT_TYPE,0.020511877,2,0.020511877
14,DAYS_EMPLOYED_CLEAN,0.018134102,1,0.018134102
15,GOODS_CREDIT_RATIO,0.016435366,1,0.016435366
16,EMPLOYMENT_YEARS,0.016282042,1,0.016282042
17,FLAG_DOCUMENT_3,0.016010385,1,0.016010385
18,EXT_SOURCE_3,0.013474082,1,0.013474082
19,NAME_TYPE_SUITE,0.013226177,7,0.013226177
20,CREDIT_TERM_RATIO,0.012278266,1,0.012278266
